time,ego_x,ego_y,ego_z,traffic_light_x,traffic_light_y,traffic_light_z,traffic_light_status
0,334.84173583984375,-96.28408813476562,0.29420000314712524,331.9900207519531,118.93003845214844,0.1032421886920929,green
1,334.8418273925781,-96.28568267822266,0.0461336113512516,331.9900207519531,118.93003845214844,0.1032421886920929,green
2,334.84228515625,-96.28942108154297,-0.06706790626049042,331.9900207519531,118.93003845214844,0.1032421886920929,green
3,334.8420715332031,-96.2955093383789,-0.06423782557249069,331.9900207519531,118.93003845214844,0.1032421886920929,green
4,334.8416748046875,-96.32537078857422,-0.044479481875896454,331.9900207519531,118.93003845214844,0.1032421886920929,green
5,334.8439636230469,-96.38066864013672,-0.02931777946650982,331.9900207519531,118.93003845214844,0.1032421886920929,green
6,334.845703125,-96.45603942871094,-0.020432280376553535,331.9900207519531,118.93003845214844,0.1032421886920929,green
7,334.84625244140625,-96.55167388916016,-0.015583648346364498,331.9900207519531,118.93003845214844,0.1032421886920929,green
8,334.84661865234375,-96.66008758544922,-0.013003005646169186,331.9900207519531,118.93003845214844,0.1032421886920929,green
9,334.8468933105469,-96.7660903930664,-0.011964225210249424,331.9900207519531,118.93003845214844,0.1032421886920929,green
10,334.8470153808594,-96.86991119384766,-0.011518211103975773,331.9900207519531,118.93003845214844,0.1032421886920929,green
11,334.847412109375,-96.97213745117188,-0.011319045908749104,331.9900207519531,118.93003845214844,0.1032421886920929,green
12,334.8476867675781,-97.07349395751953,-0.011229400523006916,331.9900207519531,118.93003845214844,0.1032421886920929,green
13,334.84771728515625,-97.17498779296875,-0.011191253550350666,331.9900207519531,118.93003845214844,0.1032421886920929,green
14,334.8477783203125,-97.27676391601562,-0.011174087412655354,331.9900207519531,118.93003845214844,0.1032421886920929,green
15,334.8478088378906,-97.37883758544922,-0.011165961623191833,331.9900207519531,118.93003845214844,0.1032421886920929,green
16,334.8478698730469,-97.48123931884766,-0.011162261478602886,331.9900207519531,118.93003845214844,0.1032421886920929,green
17,334.8476867675781,-97.58399963378906,-0.011160621419548988,331.9900207519531,118.93003845214844,0.1032421886920929,green
18,334.8475036621094,-97.68711853027344,-0.011159858666360378,331.9900207519531,118.93003845214844,0.1032421886920929,green
19,334.8469543457031,-97.7907485961914,-0.011161689646542072,331.9900207519531,118.93003845214844,0.1032421886920929,green
20,334.84625244140625,-97.8969497680664,-0.011172675527632236,331.9900207519531,118.93003845214844,0.1032421886920929,green
21,334.84613037109375,-98.02519989013672,-0.011363029479980469,331.9900207519531,118.93003845214844,0.1032421886920929,green
22,334.8470153808594,-98.2170181274414,-0.011556052602827549,331.9900207519531,118.93003845214844,0.1032421886920929,green
23,334.8478088378906,-98.43540954589844,-0.011536750942468643,331.9900207519531,118.93003845214844,0.1032421886920929,green
24,334.8479309082031,-98.67049407958984,-0.011457938700914383,331.9900207519531,118.93003845214844,0.1032421886920929,green
25,334.847412109375,-98.91883850097656,-0.011379966512322426,331.9900207519531,118.93003845214844,0.1032421886920929,green
26,334.84674072265625,-99.16727447509766,-0.01128463726490736,331.9900207519531,118.93003845214844,0.1032421886920929,green
27,334.8460388183594,-99.41588592529297,-0.011227073147892952,331.9900207519531,118.93003845214844,0.1032421886920929,green
28,334.8453369140625,-99.66495513916016,-0.011197471059858799,331.9900207519531,118.93003845214844,0.1032421886920929,green
29,334.84466552734375,-99.91616821289062,-0.011191749013960361,331.9900207519531,118.93003845214844,0.1032421886920929,green
30,334.8437805175781,-100.17213439941406,-0.011203116737306118,331.9900207519531,118.93003845214844,0.1032421886920929,green
31,334.84271240234375,-100.43507385253906,-0.011221046559512615,331.9900207519531,118.93003845214844,0.1032421886920929,green
32,334.8416748046875,-100.70632934570312,-0.01123836450278759,331.9900207519531,118.93003845214844,0.1032421886920929,green
33,334.8406066894531,-100.98662567138672,-0.011251830495893955,331.9900207519531,118.93003845214844,0.1032421886920929,green
34,334.83935546875,-101.27623748779297,-0.011260642670094967,331.9900207519531,118.93003845214844,0.1032421886920929,green
35,334.8379211425781,-101.57524871826172,-0.011265907436609268,331.9900207519531,118.93003845214844,0.1032421886920929,green
36,334.8396911621094,-101.88362884521484,-0.011268539354205132,331.9900207519531,118.93003845214844,0.1032421886920929,green
