time,ego_x,ego_y,ego_z,traffic_light_x,traffic_light_y,traffic_light_z,traffic_light_status
0,92.37545776367188,-35.904991149902344,0.29419994354248047,95.04000091552734,12.560009956359863,0.10326171666383743,red
1,92.37545776367188,-35.90489959716797,0.058117788285017014,95.04000091552734,12.560009956359863,0.10326171666383743,red
2,92.37553405761719,-35.90412902832031,-0.1002236157655716,95.04000091552734,12.560009956359863,0.10326171666383743,red
3,92.37505340576172,-35.896080017089844,-0.14805327355861664,95.04000091552734,12.560009956359863,0.10326171666383743,red
4,92.37346649169922,-35.86369705200195,-0.12570525705814362,95.04000091552734,12.560009956359863,0.10326171666383743,red
5,92.37667083740234,-35.803707122802734,-0.07624892890453339,95.04000091552734,12.560009956359863,0.10326171666383743,red
6,92.37630462646484,-35.71500778198242,-0.02992156893014908,95.04000091552734,12.560009956359863,0.10326171666383743,red
7,92.36946868896484,-35.600852966308594,-0.0005300521734170616,95.04000091552734,12.560009956359863,0.10326171666383743,red
8,92.35990142822266,-35.46143341064453,0.010723228566348553,95.04000091552734,12.560009956359863,0.10326171666383743,red
9,92.35689544677734,-35.29436111450195,0.009262618608772755,95.04000091552734,12.560009956359863,0.10326171666383743,red
10,92.35540771484375,-35.101192474365234,0.0020476148929446936,95.04000091552734,12.560009956359863,0.10326171666383743,red
11,92.35356140136719,-34.88276672363281,-0.005591926630586386,95.04000091552734,12.560009956359863,0.10326171666383743,red
12,92.35205078125,-34.6395263671875,-0.010890769772231579,95.04000091552734,12.560009956359863,0.10326171666383743,red
13,92.35084533691406,-34.3746223449707,-0.013230857439339161,95.04000091552734,12.560009956359863,0.10326171666383743,red
14,92.3498306274414,-34.08900451660156,-0.013334464281797409,95.04000091552734,12.560009956359863,0.10326171666383743,red
15,92.34892272949219,-33.78105926513672,-0.01232093758881092,95.04000091552734,12.560009956359863,0.10326171666383743,red
16,92.34818267822266,-33.450626373291016,-0.011093596927821636,95.04000091552734,12.560009956359863,0.10326171666383743,red
17,92.34769439697266,-33.09803009033203,-0.010164260864257812,95.04000091552734,12.560009956359863,0.10326171666383743,red
18,92.34748077392578,-32.72365951538086,-0.00968605000525713,95.04000091552734,12.560009956359863,0.10326171666383743,red
19,92.34756469726562,-32.32809829711914,-0.009582634083926678,95.04000091552734,12.560009956359863,0.10326171666383743,red
20,92.3479995727539,-31.912181854248047,-0.009689864702522755,95.04000091552734,12.560009956359863,0.10326171666383743,red
21,92.3487548828125,-31.476346969604492,-0.009861831553280354,95.04000091552734,12.560009956359863,0.10326171666383743,red
22,92.34986877441406,-31.021217346191406,-0.010001830756664276,95.04000091552734,12.560009956359863,0.10326171666383743,red
23,92.35128021240234,-30.547374725341797,-0.010073814541101456,95.04000091552734,12.560009956359863,0.10326171666383743,red
24,92.35298919677734,-30.055280685424805,-0.010083961300551891,95.04000091552734,12.560009956359863,0.10326171666383743,red
25,92.35491943359375,-29.547033309936523,-0.009830741211771965,95.04000091552734,12.560009956359863,0.10326171666383743,red
26,92.3569107055664,-29.041852951049805,-0.009489440359175205,95.04000091552734,12.560009956359863,0.10326171666383743,red
27,92.35911560058594,-28.531095504760742,-0.009291648864746094,95.04000091552734,12.560009956359863,0.10326171666383743,red
28,92.36173248291016,-28.023727416992188,-0.009163360111415386,95.04000091552734,12.560009956359863,0.10326171666383743,red
29,92.36453247070312,-27.512958526611328,-0.009199104271829128,95.04000091552734,12.560009956359863,0.10326171666383743,red
30,92.3674087524414,-26.994821548461914,-0.009336204268038273,95.04000091552734,12.560009956359863,0.10326171666383743,red
31,92.37036895751953,-26.46721649169922,-0.009485740214586258,95.04000091552734,12.560009956359863,0.10326171666383743,red
