time,ego_x,ego_y,ego_z,traffic_light_x,traffic_light_y,traffic_light_z,traffic_light_status
0,338.75970458984375,-232.1060333251953,0.29419994354248047,341.2500305175781,209.09996032714844,0.10420653969049454,red
1,338.75970458984375,-232.1060333251953,0.047108154743909836,341.2500305175781,209.09996032714844,0.10420653969049454,red
2,338.7597961425781,-232.10472106933594,-0.08281903713941574,341.2500305175781,209.09996032714844,0.10420653969049454,red
3,338.7597961425781,-232.1044921875,-0.07513271272182465,341.2500305175781,209.09996032714844,0.10420653969049454,red
4,338.7596130371094,-232.10317993164062,-0.04614059254527092,341.2500305175781,209.09996032714844,0.10420653969049454,red
5,338.75970458984375,-232.09530639648438,-0.0240132138133049,341.2500305175781,209.09996032714844,0.10420653969049454,red
6,338.7601623535156,-232.0782012939453,-0.01225227303802967,341.2500305175781,209.09996032714844,0.10420653969049454,red
7,338.75970458984375,-232.04931640625,-0.007589302025735378,341.2500305175781,209.09996032714844,0.10420653969049454,red
8,338.7596435546875,-232.01077270507812,-0.00646209716796875,341.2500305175781,209.09996032714844,0.10420653969049454,red
9,338.7595520019531,-231.9633331298828,-0.006617011968046427,341.2500305175781,209.09996032714844,0.10420653969049454,red
10,338.7596740722656,-231.90443420410156,-0.007030677516013384,341.2500305175781,209.09996032714844,0.10420653969049454,red
11,338.7601013183594,-231.8374786376953,-0.007329483050853014,341.2500305175781,209.09996032714844,0.10420653969049454,red
12,338.7598876953125,-231.76194763183594,-0.007485656533390284,341.2500305175781,209.09996032714844,0.10420653969049454,red
13,338.7602233886719,-231.678955078125,-0.007544898893684149,341.2500305175781,209.09996032714844,0.10420653969049454,red
14,338.76019287109375,-231.5873260498047,-0.007559089455753565,341.2500305175781,209.09996032714844,0.10420653969049454,red
15,338.7601623535156,-231.48745727539062,-0.007556762546300888,341.2500305175781,209.09996032714844,0.10420653969049454,red
16,338.75994873046875,-231.37855529785156,-0.007555694319307804,341.2500305175781,209.09996032714844,0.10420653969049454,red
17,338.7606506347656,-231.26104736328125,-0.007547874469310045,341.2500305175781,209.09996032714844,0.10420653969049454,red
18,338.7619323730469,-231.13987731933594,-0.007530898787081242,341.2500305175781,209.09996032714844,0.10420653969049454,red
19,338.7628479003906,-231.0129852294922,-0.007524604443460703,341.2500305175781,209.09996032714844,0.10420653969049454,red
20,338.7632751464844,-230.88003540039062,-0.00752410851418972,341.2500305175781,209.09996032714844,0.10420653969049454,red
21,338.7637023925781,-230.74090576171875,-0.007525291293859482,341.2500305175781,209.09996032714844,0.10420653969049454,red
22,338.76416015625,-230.59518432617188,-0.007528114132583141,341.2500305175781,209.09996032714844,0.10420653969049454,red
23,338.76458740234375,-230.4424591064453,-0.007530860602855682,341.2500305175781,209.09996032714844,0.10420653969049454,red
24,338.76507568359375,-230.283203125,-0.007530860602855682,341.2500305175781,209.09996032714844,0.10420653969049454,red
25,338.7655334472656,-230.11769104003906,-0.007529640104621649,341.2500305175781,209.09996032714844,0.10420653969049454,red
26,338.7659606933594,-229.94607543945312,-0.007528228685259819,341.2500305175781,209.09996032714844,0.10420653969049454,red
27,338.7664489746094,-229.76841735839844,-0.007527007721364498,341.2500305175781,209.09996032714844,0.10420653969049454,red
28,338.76690673828125,-229.5848388671875,-0.007525901775807142,341.2500305175781,209.09996032714844,0.10420653969049454,red
29,338.7673645019531,-229.3955078125,-0.007524909917265177,341.2500305175781,209.09996032714844,0.10420653969049454,red
30,338.76788330078125,-229.20054626464844,-0.0075239562429487705,341.2500305175781,209.09996032714844,0.10420653969049454,red
31,338.7683410644531,-229.00006103515625,-0.007522888015955687,341.2500305175781,209.09996032714844,0.10420653969049454,red
