time,ego_x,ego_y,ego_z,traffic_light_x,traffic_light_y,traffic_light_z,traffic_light_status
0,334.8027648925781,-160.83897399902344,0.29419994354248047,331.9900207519531,184.47003173828125,0.1032421886920929,green
1,334.8027648925781,-160.83897399902344,0.044299907982349396,331.9900207519531,184.47003173828125,0.1032421886920929,green
2,334.8016052246094,-160.83975219726562,-0.1077495664358139,331.9900207519531,184.47003173828125,0.1032421886920929,green
3,334.8016662597656,-160.84584045410156,-0.09451816976070404,331.9900207519531,184.47003173828125,0.1032421886920929,green
4,334.8013916015625,-160.8539276123047,-0.06378842890262604,331.9900207519531,184.47003173828125,0.1032421886920929,green
5,334.8014831542969,-160.87367248535156,-0.041089799255132675,331.9900207519531,184.47003173828125,0.1032421886920929,green
6,334.8014831542969,-160.91458129882812,-0.029957979917526245,331.9900207519531,184.47003173828125,0.1032421886920929,green
7,334.8011779785156,-160.96690368652344,-0.026972293853759766,331.9900207519531,184.47003173828125,0.1032421886920929,green
8,334.80120849609375,-161.03961181640625,-0.027102012187242508,331.9900207519531,184.47003173828125,0.1032421886920929,green
9,334.8011169433594,-161.1310272216797,-0.028100280091166496,331.9900207519531,184.47003173828125,0.1032421886920929,green
10,334.80126953125,-161.23817443847656,-0.028955038636922836,331.9900207519531,184.47003173828125,0.1032421886920929,green
11,334.8016662597656,-161.36036682128906,-0.029378890991210938,331.9900207519531,184.47003173828125,0.1032421886920929,green
12,334.80206298828125,-161.4984893798828,-0.029483526945114136,331.9900207519531,184.47003173828125,0.1032421886920929,green
13,334.8026428222656,-161.6536102294922,-0.029387300834059715,331.9900207519531,184.47003173828125,0.1032421886920929,green
14,334.80322265625,-161.82785034179688,-0.029260559007525444,331.9900207519531,184.47003173828125,0.1032421886920929,green
15,334.80291748046875,-162.02090454101562,-0.029191531240940094,331.9900207519531,184.47003173828125,0.1032421886920929,green
16,334.80206298828125,-162.2342529296875,-0.029125746339559555,331.9900207519531,184.47003173828125,0.1032421886920929,green
17,334.8011169433594,-162.46847534179688,-0.029073886573314667,331.9900207519531,184.47003173828125,0.1032421886920929,green
18,334.80767822265625,-162.72312927246094,-0.028983496129512787,331.9900207519531,184.47003173828125,0.1032421886920929,green
19,334.8076171875,-162.99832153320312,-0.029105262830853462,331.9900207519531,184.47003173828125,0.1032421886920929,green
20,334.8058166503906,-163.29405212402344,-0.02916969172656536,331.9900207519531,184.47003173828125,0.1032421886920929,green
21,334.8049621582031,-163.61007690429688,-0.029122523963451385,331.9900207519531,184.47003173828125,0.1032421886920929,green
22,334.80389404296875,-163.94615173339844,-0.029106520116329193,331.9900207519531,184.47003173828125,0.1032421886920929,green
23,334.802490234375,-164.3019256591797,-0.02912149392068386,331.9900207519531,184.47003173828125,0.1032421886920929,green
24,334.8006896972656,-164.67703247070312,-0.029148349538445473,331.9900207519531,184.47003173828125,0.1032421886920929,green
25,334.7985534667969,-165.07102966308594,-0.0291781984269619,331.9900207519531,184.47003173828125,0.1032421886920929,green
26,334.80755615234375,-165.48243713378906,-0.029109209775924683,331.9900207519531,184.47003173828125,0.1032421886920929,green
27,334.8089294433594,-165.9108428955078,-0.029299583286046982,331.9900207519531,184.47003173828125,0.1032421886920929,green
28,334.8063659667969,-166.35610961914062,-0.02942783199250698,331.9900207519531,184.47003173828125,0.1032421886920929,green
29,334.8048400878906,-166.8175506591797,-0.029374675825238228,331.9900207519531,184.47003173828125,0.1032421886920929,green
30,334.8029479980469,-167.29466247558594,-0.02934497781097889,331.9900207519531,184.47003173828125,0.1032421886920929,green
31,334.8006591796875,-167.787109375,-0.02935396134853363,331.9900207519531,184.47003173828125,0.1032421886920929,green
32,334.7977600097656,-168.29354858398438,-0.02917247638106346,331.9900207519531,184.47003173828125,0.1032421886920929,green
33,334.80584716796875,-168.7982177734375,-0.02956085093319416,331.9900207519531,184.47003173828125,0.1032421886920929,green
34,334.8074951171875,-169.3085479736328,-0.029853686690330505,331.9900207519531,184.47003173828125,0.1032421886920929,green
35,334.80389404296875,-169.81759643554688,-0.03011760674417019,331.9900207519531,184.47003173828125,0.1032421886920929,green
36,334.80206298828125,-170.32614135742188,-0.0301884263753891,331.9900207519531,184.47003173828125,0.1032421886920929,green
37,334.8001403808594,-170.84939575195312,-0.029692133888602257,331.9900207519531,184.47003173828125,0.1032421886920929,green
38,334.79803466796875,-171.36825561523438,-0.029904574155807495,331.9900207519531,184.47003173828125,0.1032421886920929,green
39,334.79449462890625,-171.881591796875,-0.030205057933926582,331.9900207519531,184.47003173828125,0.1032421886920929,green
40,334.7899169921875,-172.38970947265625,-0.030376814305782318,331.9900207519531,184.47003173828125,0.1032421886920929,green
41,334.7850036621094,-172.89759826660156,-0.03021707385778427,331.9900207519531,184.47003173828125,0.1032421886920929,green
42,334.7907409667969,-173.33680725097656,-0.032637253403663635,331.9900207519531,184.47003173828125,0.1032421886920929,green
43,334.7957763671875,-173.65927124023438,-0.035459004342556,331.9900207519531,184.47003173828125,0.1032421886920929,green
44,334.7952575683594,-173.86148071289062,-0.03696781024336815,331.9900207519531,184.47003173828125,0.1032421886920929,green
45,334.7956848144531,-173.93026733398438,-0.037740495055913925,331.9900207519531,184.47003173828125,0.1032421886920929,green
46,334.7958068847656,-173.9288787841797,-0.035560742020606995,331.9900207519531,184.47003173828125,0.1032421886920929,green
47,334.7961120605469,-173.9267120361328,-0.032118797302246094,331.9900207519531,184.47003173828125,0.1032421886920929,green
48,334.7961730957031,-173.92532348632812,-0.030011195689439774,331.9900207519531,184.47003173828125,0.1032421886920929,yellow
49,334.7961730957031,-173.9253692626953,-0.0293593592941761,331.9900207519531,184.47003173828125,0.1032421886920929,yellow
50,334.7945251464844,-173.94232177734375,-0.028990382328629494,331.9900207519531,184.47003173828125,0.1032421886920929,yellow
51,334.7917785644531,-173.9857940673828,-0.02872501313686371,331.9900207519531,184.47003173828125,0.1032421886920929,yellow
52,334.78619384765625,-174.04798889160156,-0.028874320909380913,331.9900207519531,184.47003173828125,0.1032421886920929,yellow
53,334.77850341796875,-174.1284942626953,-0.029111137613654137,331.9900207519531,184.47003173828125,0.1032421886920929,yellow
54,334.76971435546875,-174.22254943847656,-0.029367350041866302,331.9900207519531,184.47003173828125,0.1032421886920929,yellow
55,334.7595520019531,-174.33265686035156,-0.029415911063551903,331.9900207519531,184.47003173828125,0.1032421886920929,yellow
56,334.7481689453125,-174.46263122558594,-0.029262332245707512,331.9900207519531,184.47003173828125,0.1032421886920929,yellow
57,334.73565673828125,-174.60951232910156,-0.029255980625748634,331.9900207519531,184.47003173828125,0.1032421886920929,yellow
58,334.7220764160156,-174.7746124267578,-0.02920566499233246,331.9900207519531,184.47003173828125,0.1032421886920929,yellow
59,334.7076416015625,-174.95834350585938,-0.029198111966252327,331.9900207519531,184.47003173828125,0.1032421886920929,yellow
60,334.6926574707031,-175.15982055664062,-0.029206255450844765,331.9900207519531,184.47003173828125,0.1032421886920929,yellow
61,334.67718505859375,-175.38108825683594,-0.029162254184484482,331.9900207519531,184.47003173828125,0.1032421886920929,yellow
62,334.6615905761719,-175.62298583984375,-0.02910549007356167,331.9900207519531,184.47003173828125,0.1032421886920929,yellow
63,334.6460876464844,-175.8856964111328,-0.029070433229207993,331.9900207519531,184.47003173828125,0.1032421886920929,yellow
64,334.6310119628906,-176.16917419433594,-0.02906394936144352,331.9900207519531,184.47003173828125,0.1032421886920929,yellow
65,334.6167907714844,-176.47314453125,-0.02907714806497097,331.9900207519531,184.47003173828125,0.1032421886920929,yellow
66,334.6037902832031,-176.79733276367188,-0.029099158942699432,331.9900207519531,184.47003173828125,0.1032421886920929,yellow
67,334.59228515625,-177.14144897460938,-0.029122505336999893,331.9900207519531,184.47003173828125,0.1032421886920929,yellow
68,334.582763671875,-177.5051727294922,-0.029144687578082085,331.9900207519531,184.47003173828125,0.1032421886920929,yellow
69,334.5754699707031,-177.8881072998047,-0.029166582971811295,331.9900207519531,184.47003173828125,0.1032421886920929,yellow
70,334.57061767578125,-178.2896270751953,-0.029196415096521378,331.9900207519531,184.47003173828125,0.1032421886920929,yellow
71,334.5683898925781,-178.708984375,-0.029237573966383934,331.9900207519531,184.47003173828125,0.1032421886920929,yellow
72,334.5689392089844,-179.14547729492188,-0.029278526082634926,331.9900207519531,184.47003173828125,0.1032421886920929,yellow
73,334.572265625,-179.59852600097656,-0.02931627258658409,331.9900207519531,184.47003173828125,0.1032421886920929,yellow
74,334.5782775878906,-180.06752014160156,-0.02935117669403553,331.9900207519531,184.47003173828125,0.1032421886920929,yellow
75,334.5868225097656,-180.55203247070312,-0.02937999740242958,331.9900207519531,184.47003173828125,0.1032421886920929,yellow
76,334.59783935546875,-181.0516815185547,-0.029244326055049896,331.9900207519531,184.47003173828125,0.1032421886920929,yellow
77,334.61187744140625,-181.5582733154297,-0.029458675533533096,331.9900207519531,184.47003173828125,0.1032421886920929,yellow
78,334.6274108886719,-182.0628204345703,-0.029904402792453766,331.9900207519531,184.47003173828125,0.1032421886920929,yellow
79,334.6435546875,-182.56651306152344,-0.03021015040576458,331.9900207519531,184.47003173828125,0.1032421886920929,red
80,334.6609802246094,-183.07823181152344,-0.02997644431889057,331.9900207519531,184.47003173828125,0.1032421886920929,red
81,334.6781921386719,-183.58248901367188,-0.030196303501725197,331.9900207519531,184.47003173828125,0.1032421886920929,red
82,334.69549560546875,-184.0970916748047,-0.02973361872136593,331.9900207519531,184.47003173828125,0.1032421886920929,red
83,334.7140808105469,-184.6179656982422,-0.029713783413171768,331.9900207519531,184.47003173828125,0.1032421886920929,red
84,334.73089599609375,-185.1302490234375,-0.030153730884194374,331.9900207519531,184.47003173828125,0.1032421886920929,red
85,334.74755859375,-185.6378631591797,-0.03035934455692768,N,o,n,None
86,334.7634582519531,-186.1443328857422,-0.03027765266597271,N,o,n,None
87,334.77886962890625,-186.65235900878906,-0.030081728473305702,N,o,n,None
88,334.79437255859375,-187.16677856445312,-0.02976030297577381,N,o,n,None
89,334.8012390136719,-187.69390869140625,-0.029608039185404778,N,o,n,None
90,334.8061218261719,-188.22259521484375,-0.029753245413303375,N,o,n,None
91,334.80230712890625,-188.7508544921875,-0.030045852065086365,N,o,n,None
92,334.79327392578125,-189.2659149169922,-0.030584124848246574,N,o,n,None
93,334.7868957519531,-189.7675323486328,-0.030735645443201065,N,o,n,None
94,334.7776794433594,-190.26214599609375,-0.03085523471236229,N,o,n,None
95,334.7825622558594,-190.73370361328125,-0.031088581308722496,N,o,n,None
96,334.79608154296875,-191.18763732910156,-0.03109796531498432,N,o,n,None
97,334.79296875,-191.63726806640625,-0.03102165088057518,N,o,n,None
98,334.7776794433594,-192.0867462158203,-0.03070938028395176,N,o,n,None
99,334.7798767089844,-192.53448486328125,-0.030119094997644424,N,o,n,None
100,334.7934265136719,-192.9827117919922,-0.029812011867761612,N,o,n,None
101,334.7903747558594,-193.43470764160156,-0.030085792765021324,N,o,n,None
102,334.77587890625,-193.8923797607422,-0.03018384799361229,N,o,n,None
103,334.7781677246094,-194.35560607910156,-0.029797248542308807,N,o,n,None
104,334.791748046875,-194.82403564453125,-0.029605254530906677,N,o,n,None
105,334.7884216308594,-195.2972412109375,-0.030016593635082245,N,o,n,None
