time,ego_x,ego_y,ego_z,traffic_light_x,traffic_light_y,traffic_light_z,traffic_light_status
0,370.2377624511719,-326.6099853515625,0.2941999733448028,349.6000061035156,324.080078125,0.1032421886920929,3
1,370.2362060546875,-326.6098937988281,0.0461336523294448,349.6000061035156,324.080078125,0.1032421886920929,3
2,370.23248291015625,-326.6094055175781,-0.0670679062604904,349.6000061035156,324.080078125,0.1032421886920929,3
3,370.2260437011719,-326.6095275878906,-0.0642420947551727,349.6000061035156,324.080078125,0.1032421886920929,3
4,370.1971740722656,-326.6099548339844,-0.0444728471338748,349.6000061035156,324.080078125,0.1032421886920929,3
5,370.1430358886719,-326.6100769042969,-0.0293092336505651,349.6000061035156,324.080078125,0.1032421886920929,3
6,370.0673828125,-326.6066589355469,-0.0204333867877721,349.6000061035156,324.080078125,0.1032421886920929,3
7,369.9761352539063,-326.6061706542969,-0.0156665798276662,349.6000061035156,324.080078125,0.1032421886920929,3
8,369.87744140625,-326.60595703125,-0.0132574075832962,349.6000061035156,324.080078125,0.1032421886920929,3
9,369.7655334472656,-326.6052551269531,-0.0119764702394604,349.6000061035156,324.080078125,0.1032421886920929,3
10,369.6553039550781,-326.6049194335937,-0.0114931482821702,349.6000061035156,324.080078125,0.1032421886920929,3
11,369.5460205078125,-326.6047668457031,-0.0113016124814748,349.6000061035156,324.080078125,0.1032421886920929,3
12,369.437255859375,-326.60467529296875,-0.011218681000173,349.6000061035156,324.080078125,0.1032421886920929,3
13,369.3297119140625,-326.604736328125,-0.0111771775409579,349.6000061035156,324.080078125,0.1032421886920929,3
14,369.2181091308594,-326.60504150390625,-0.011209144257009,349.6000061035156,324.080078125,0.1032421886920929,3
15,369.0962524414063,-326.60528564453125,-0.0112150190398097,349.6000061035156,324.080078125,0.1032421886920929,3
16,368.9761657714844,-326.6053466796875,-0.0111818313598632,349.6000061035156,324.080078125,0.1032421886920929,3
17,368.8454284667969,-326.60546875,-0.0112422173842787,349.6000061035156,324.080078125,0.1032421886920929,3
18,368.7047424316406,-326.6055908203125,-0.0112676620483398,349.6000061035156,324.080078125,0.1032421886920929,3
19,368.5516052246094,-326.6058959960937,-0.0112591171637177,349.6000061035156,324.080078125,0.1032421886920929,3
20,368.3937377929688,-326.60577392578125,-0.01126270275563,349.6000061035156,324.080078125,0.1032421886920929,3
21,368.2239685058594,-326.60552978515625,-0.0112903593108057,349.6000061035156,324.080078125,0.1032421886920929,3
22,368.0377197265625,-326.6063537597656,-0.0113142011687159,349.6000061035156,324.080078125,0.1032421886920929,3
23,367.829833984375,-326.6065979003906,-0.0113716125488281,349.6000061035156,324.080078125,0.1032421886920929,3
24,367.5930786132813,-326.60595703125,-0.0114429472014307,349.6000061035156,324.080078125,0.1032421886920929,3
25,367.3374633789063,-326.60675048828125,-0.0114074321463704,349.6000061035156,324.080078125,0.1032421886920929,3
26,367.0773010253906,-326.6088562011719,-0.0113146966323256,349.6000061035156,324.080078125,0.1032421886920929,3
27,366.8162841796875,-326.6107788085937,-0.0112504195421934,349.6000061035156,324.080078125,0.1032421886920929,3
28,366.5538330078125,-326.6093444824219,-0.0112145608291029,349.6000061035156,324.080078125,0.1032421886920929,3
29,366.2900390625,-326.6103515625,-0.0111941527575254,349.6000061035156,324.080078125,0.1032421886920929,3
30,366.0246276855469,-326.6080322265625,-0.0111873243004083,349.6000061035156,324.080078125,0.1032421886920929,3
31,365.7553405761719,-326.608154296875,-0.0111957164481282,349.6000061035156,324.080078125,0.1032421886920929,3
32,365.4800415039063,-326.6083984375,-0.0112121580168604,349.6000061035156,324.080078125,0.1032421886920929,3
33,365.1971740722656,-326.6079406738281,-0.0112289041280746,349.6000061035156,324.080078125,0.1032421886920929,3
34,364.9060974121094,-326.6075134277344,-0.0112423319369554,349.6000061035156,324.080078125,0.1032421886920929,3
35,364.6063232421875,-326.607177734375,-0.0112518304958939,349.6000061035156,324.080078125,0.1032421886920929,3
36,364.2977294921875,-326.6069030761719,-0.0112576289102435,349.6000061035156,324.080078125,0.1032421886920929,3
37,363.9803771972656,-326.6067810058594,-0.0112606426700949,349.6000061035156,324.080078125,0.1032421886920929,3
38,363.6544189453125,-326.606689453125,-0.011261367239058,349.6000061035156,324.080078125,0.1032421886920929,3
39,363.320068359375,-326.6067199707031,-0.0112606044858694,349.6000061035156,324.080078125,0.1032421886920929,3
40,362.97747802734375,-326.6068725585937,-0.0112587353214621,349.6000061035156,324.080078125,0.1032421886920929,3
41,362.6271057128906,-326.6071472167969,-0.0112564461305737,349.6000061035156,324.080078125,0.1032421886920929,3
42,362.2717895507813,-326.6075134277344,-0.0112302778288722,349.6000061035156,324.080078125,0.1032421886920929,3
43,361.9580078125,-326.6048889160156,-0.0108072282746434,349.6000061035156,324.080078125,0.1032421886920929,3
44,361.875732421875,-326.6016845703125,-0.0099796671420335,349.6000061035156,324.080078125,0.1032421886920929,3
45,361.87548828125,-326.6016845703125,-0.0103215789422392,349.6000061035156,324.080078125,0.1032421886920929,3
46,361.87506103515625,-326.6016845703125,-0.0107480622828006,349.6000061035156,324.080078125,0.1032421886920929,3
47,361.874755859375,-326.6016845703125,-0.0110102081671357,349.6000061035156,324.080078125,0.1032421886920929,3
48,361.874755859375,-326.6016845703125,-0.0110102081671357,349.6000061035156,324.080078125,0.1032421886920929,2
49,361.8740234375,-326.6016845703125,-0.0112065505236387,349.6000061035156,324.080078125,0.1032421886920929,2
50,361.8419799804688,-326.6021423339844,-0.0114324949681758,349.6000061035156,324.080078125,0.1032421886920929,2
51,361.7857055664063,-326.6028747558594,-0.0115108871832489,349.6000061035156,324.080078125,0.1032421886920929,2
52,361.7078857421875,-326.6037292480469,-0.011550597846508,349.6000061035156,324.080078125,0.1032421886920929,2
53,361.6125183105469,-326.6048889160156,-0.0114946365356445,349.6000061035156,324.080078125,0.1032421886920929,2
54,361.5055236816406,-326.6063537597656,-0.0111892316490411,349.6000061035156,324.080078125,0.1032421886920929,2
55,361.3997497558594,-326.6078186035156,-0.0111214062198996,349.6000061035156,324.080078125,0.1032421886920929,2
56,361.2828674316406,-326.6100769042969,-0.0112060159444808,349.6000061035156,324.080078125,0.1032421886920929,2
57,361.16400146484375,-326.6107482910156,-0.0111753465607762,349.6000061035156,324.080078125,0.1032421886920929,2
58,361.0477294921875,-326.6117858886719,-0.011153221130371,349.6000061035156,324.080078125,0.1032421886920929,2
59,360.9333190917969,-326.6134338378906,-0.0111449044197797,349.6000061035156,324.080078125,0.1032421886920929,2
60,360.8199157714844,-326.6149597167969,-0.0111452098935842,349.6000061035156,324.080078125,0.1032421886920929,2
61,360.7063293457031,-326.6162414550781,-0.0111507028341293,349.6000061035156,324.080078125,0.1032421886920929,2
62,360.5924377441406,-326.6174621582031,-0.0111544411629438,349.6000061035156,324.080078125,0.1032421886920929,2
63,360.4782409667969,-326.61871337890625,-0.0111566158011555,349.6000061035156,324.080078125,0.1032421886920929,2
64,360.3636779785156,-326.6199035644531,-0.0111579513177275,349.6000061035156,324.080078125,0.1032421886920929,2
65,360.248779296875,-326.62115478515625,-0.0111581804230809,349.6000061035156,324.080078125,0.1032421886920929,2
66,360.1325988769531,-326.6228332519531,-0.0111644743010401,349.6000061035156,324.080078125,0.1032421886920929,2
67,360.0106811523437,-326.62359619140625,-0.0112086487933993,349.6000061035156,324.080078125,0.1032421886920929,2
68,359.8474426269531,-326.6234436035156,-0.0114223854616284,349.6000061035156,324.080078125,0.1032421886920929,2
69,359.6390686035156,-326.625,-0.0115334698930382,349.6000061035156,324.080078125,0.1032421886920929,2
70,359.4066772460937,-326.6269836425781,-0.0114727783948183,349.6000061035156,324.080078125,0.1032421886920929,2
71,359.175537109375,-326.62799072265625,-0.0113365547731518,349.6000061035156,324.080078125,0.1032421886920929,2
72,358.9442749023437,-326.6289978027344,-0.0112561415880918,349.6000061035156,324.080078125,0.1032421886920929,2
73,358.71209716796875,-326.6302185058594,-0.011216620914638,349.6000061035156,324.080078125,0.1032421886920929,2
74,358.47705078125,-326.6317749023437,-0.0112067032605409,349.6000061035156,324.080078125,0.1032421886920929,2
75,358.2362060546875,-326.6332397460937,-0.0112161254510283,349.6000061035156,324.080078125,0.1032421886920929,2
76,357.9877014160156,-326.6344909667969,-0.0112322997301816,349.6000061035156,324.080078125,0.1032421886920929,2
77,357.7303161621094,-326.6356201171875,-0.0112479776144027,349.6000061035156,324.080078125,0.1032421886920929,2
78,357.46337890625,-326.6365966796875,-0.0112595744431018,349.6000061035156,324.080078125,0.1032421886920929,2
79,357.1866760253906,-326.6373291015625,-0.0112680047750473,349.6000061035156,324.080078125,0.1032421886920929,1
80,356.8990173339844,-326.63787841796875,-0.0112811280414462,349.6000061035156,324.080078125,0.1032421886920929,1
81,356.5940856933594,-326.6383056640625,-0.0113304136320948,349.6000061035156,324.080078125,0.1032421886920929,1
82,356.2509155273437,-326.63800048828125,-0.0114616388455033,349.6000061035156,324.080078125,0.1032421886920929,1
83,355.888427734375,-326.6378173828125,-0.0114151379093527,349.6000061035156,324.080078125,0.1032421886920929,1
