time,ego_x,ego_y,ego_z,traffic_light_x,traffic_light_y,traffic_light_z,traffic_light_status
0,92.39488983154295,-163.73947143554688,0.2942000031471252,94.9899673461914,144.38002014160156,0.1032421886920929,3
1,92.39488983154295,-163.73947143554688,0.1272303014993667,94.9899673461914,144.38002014160156,0.1032421886920929,3
2,92.39498138427734,-163.73931884765625,0.1019673123955726,94.9899673461914,144.38002014160156,0.1032421886920929,3
3,92.39495086669922,-163.7391815185547,0.1125052645802497,94.9899673461914,144.38002014160156,0.1032421886920929,3
4,92.39432525634766,-163.73085021972656,0.1246831119060516,94.9899673461914,144.38002014160156,0.1032421886920929,3
5,92.39436340332033,-163.70455932617188,0.1326116919517517,94.9899673461914,144.38002014160156,0.1032421886920929,3
6,92.3973388671875,-163.6625213623047,0.136982575058937,94.9899673461914,144.38002014160156,0.1032421886920929,3
7,92.39781951904295,-163.60438537597656,0.1391816735267639,94.9899673461914,144.38002014160156,0.1032421886920929,3
8,92.39212036132812,-163.53134155273438,0.1402515769004821,94.9899673461914,144.38002014160156,0.1032421886920929,3
9,92.38267517089844,-163.44496154785156,0.1407445520162582,94.9899673461914,144.38002014160156,0.1032421886920929,3
10,92.38031005859376,-163.34225463867188,0.1409513801336288,94.9899673461914,144.38002014160156,0.1032421886920929,3
11,92.38275146484376,-163.2213134765625,0.141030415892601,94.9899673461914,144.38002014160156,0.1032421886920929,3
12,92.3842544555664,-163.0848846435547,0.1410779505968094,94.9899673461914,144.38002014160156,0.1032421886920929,3
13,92.38579559326172,-162.9296417236328,0.1410813480615615,94.9899673461914,144.38002014160156,0.1032421886920929,3
14,92.3877944946289,-162.75732421875,0.141092449426651,94.9899673461914,144.38002014160156,0.1032421886920929,3
15,92.3900146484375,-162.5751495361328,0.1411500871181488,94.9899673461914,144.38002014160156,0.1032421886920929,3
16,92.39278411865234,-162.38424682617188,0.1411773264408111,94.9899673461914,144.38002014160156,0.1032421886920929,3
17,92.39627075195312,-162.18185424804688,0.141179159283638,94.9899673461914,144.38002014160156,0.1032421886920929,3
